iso3,country,UNregion,r_placeholder,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
SEN,Senegal,Western Africa,0.4722222222222221,1773.21829923448,46.79326067424323,18501984.0,865768160.3026774,100,1,5.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
HND,Honduras,Central America,0.5455222222222221,3426.43483328923,77.86192443668301,10825703.0,842910068.9599726,101,136,14.8,15.7,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PNG,Papua New Guinea,Melanesia,0.4722222222222221,3006.70564478923,79.34362118193803,10576502.0,839177968.1180099,102,1,28.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BIH,Bosnia and Herzegovina,Southern Europe,0.4722222222222221,9358.78768951134,246.968008473216,3164253.0,781469261.7153991,103,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SLV,El Salvador,Central America,0.5950222222222221,5579.65969165029,112.98190913403882,6338193.0,716101145.6000009,104,145,6.7,4.6,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ALB,Albania,Southern Europe,0.4722222222222221,11377.7757431099,300.24685988762246,2377128.0,713725217.5509442,105,1,5.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CYP,Cyprus,Western Asia,0.7283333333333332,38674.29296875,525.3258128255212,1358282.0,713540595.6962746,106,191,2.5,0.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MLI,Mali,Western Africa,0.4722222222222221,1094.61949265799,28.88579216736363,24478595.0,707083607.7190665,107,1,12.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TTO,Trinidad and Tobago,Caribbean,0.4722222222222221,18733.4110406494,494.3539024615815,1368333.0,676440758.4169632,108,1,11.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ZMB,Zambia,Eastern Africa,0.4722222222222221,1187.10943350064,31.32649893960023,21314956.0,667722946.5316256,109,1,37.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
