iso3,country,UNregion,r,g0,g0_year,vdem_year,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
IRN,Iran,Southern Asia,0.0,5190.16959024821,2026,2024,259.5084795124105,91567738.0,23762604460.77077,19,1,6.8,2.5,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
THA,Thailand,South-eastern Asia,0.1111111111111111,7346.62022142185,2026,2024,326.5164542854156,71668011.0,23400784837.40816,20,59,4.6,0.0,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
BGD,Bangladesh,Southern Asia,0.0,2593.41611680774,2026,2024,129.670805840387,173562364.0,22505971603.442574,21,1,10.4,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
AUS,Australia,Australia and New Zealand,0.7777777777777777,64603.9856308464,2026,2024,717.8220625649603,27196812.0,19522471685.031464,22,162,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ESP,Spain,Southern Europe,0.7777777777777777,35326.7683069278,2026,2024,392.51964785475354,48848840.0,19174129474.9132,23,162,2.5,0.8,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
PAK,Pakistan,Southern Asia,0.0,1478.77277977996,2026,2024,73.93863898899801,251269164.0,18578500006.063335,24,1,16.5,23.0,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ISR,Israel,Western Asia,0.3333333333333333,54176.6844383302,2026,2024,1805.8894812776737,9974400.0,18012664042.056026,25,89,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ARG,Argentina,South America,0.4444444444444444,13969.7836603737,2026,2024,388.0495461214917,45696159.0,17732373759.44552,26,120,3.4,1.0,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
POL,Poland,Eastern Europe,0.6666666666666667,25103.565661423,2026,2024,418.39276102371656,36559233.0,15296118435.779373,27,156,2.5,0.2,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
EGY,Egypt,Northern Africa,0.2222222222222222,3338.47371395895,2026,2024,129.82953332062584,116538258.0,15130107650.13869,28,76,9.4,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
KAZ,Kazakhstan,Central Asia,0.0,14154.6324958076,2026,2024,707.73162479038,20592571.0,14574013732.441261,29,1,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
IRQ,Iraq,Western Asia,0.0,6073.61032342708,2026,2024,303.68051617135404,46042015.0,13982062880.769226,30,1,14.9,0.5,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
PHL,Philippines,South-eastern Asia,0.4444444444444444,3984.8315387656,2026,2024,110.68976496571112,115843670.0,12822708605.065401,31,120,3.0,5.3,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
COL,Colombia,South America,0.4444444444444444,7919.20886825345,2026,2024,219.9780241181514,52886363.0,11633837635.53531,32,120,3.9,8.5,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ZAF,South Africa,Southern Africa,0.4444444444444444,6267.186814093,2026,2024,174.08852261369447,64007187.0,11142916621.48847,33,120,10.0,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
DZA,Algeria,Northern Africa,0.2222222222222222,5752.99076651465,2026,2024,223.72741869779196,46814308.0,10473644286.963392,34,76,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
PER,Peru,South America,0.3333333333333333,8452.37167056621,2026,2024,281.74572235220705,34217848.0,9640732302.098024,35,89,6.9,5.1,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
MYS,Malaysia,South-eastern Asia,0.5555555555555556,11874.4273684245,2026,2024,263.87616374276666,35557673.0,9382822342.859753,36,134,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
SGP,Singapore,South-eastern Asia,0.6666666666666666,90674.066632628,2026,2024,1511.2344438771338,6036860.0,9123110764.864115,37,148,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
QAT,Qatar,Western Asia,0.2222222222222222,76688.6941743178,2026,2024,2982.3381067790256,2857822.0,8522991452.991448,38,76,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
NGA,Nigeria,Western Africa,0.3333333333333333,1084.16041805436,2026,2024,36.138680601812005,232679478.0,8408729338.038343,39,89,19.9,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
UKR,Ukraine,Eastern Europe,0.2222222222222222,5389.47314453125,2026,2024,209.5906222873264,37860221.0,7935147279.325703,40,76,6.9,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
NLD,Netherlands,Western Europe,0.8888888888888888,67520.4218956281,2026,2024,375.1134549757118,17993485.0,6749598325.4036455,41,174,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ROU,Romania,Eastern Europe,0.6666666666666667,20080.2096215595,2026,2024,334.67016035932494,19051804.0,6376070299.814428,42,156,2.5,0.7,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
VEN,Venezuela,South America,0.0,4217.59102643391,2026,2024,210.87955132169552,28405543.0,5990148162.889129,43,1,5.9,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
